pin,slack
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_1_0_wmux_RNO[67]:B,11697
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_1_0_wmux_RNO[67]:Y,10822
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_0_a3[48]:A,13878
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_0_a3[48]:B,
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_0_a3[48]:C,2705
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_0_a3[48]:D,5772
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_0_a3[48]:Y,2705
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align[8]:ALn,
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align[8]:CLK,8715
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align[8]:D,3475
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align[8]:Q,8715
SmartBert_Core_0_0/SB_VER_GEN_0/SLE_DATA_RATE[13]:ALn,
SmartBert_Core_0_0/SB_VER_GEN_0/SLE_DATA_RATE[13]:CLK,
SmartBert_Core_0_0/SB_VER_GEN_0/SLE_RX_LANE1_ERR_CNT[7]:ALn,
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_22[50]:A,10401
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_22[50]:B,8635
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_22[50]:C,8569
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_22[50]:Y,8569
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_2_1[42]:A,12567
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_2_1[42]:B,12501
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_2_1[42]:C,12382
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_2_1[42]:D,2619
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_2_1[42]:Y,2619
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs7[30]:ALn,
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs7[30]:CLK,14266
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs7[30]:D,3065
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs7[30]:Q,14266
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/err_bits_7_iv_0_a2[72]:A,12035
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/err_bits_7_iv_0_a2[72]:B,11981
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/err_bits_7_iv_0_a2[72]:C,-80
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/err_bits_7_iv_0_a2[72]:Y,-80
SmartBert_Core_0_0/SB_VER_GEN_0/SLE_CPZ_VERSION[1]:ALn,
SmartBert_Core_0_0/SB_VER_GEN_0/SLE_CPZ_VERSION[1]:CLK,
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_2[58]:A,12666
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_2[58]:B,4634
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_2[58]:C,3718
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_2[58]:D,2705
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_2[58]:Y,2705
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9[55]:ALn,
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9[55]:CLK,11925
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9[55]:D,2146
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9[55]:Q,11925
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs7_5_i_0_m2[44]:A,12732
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs7_5_i_0_m2[44]:B,2349
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs7_5_i_0_m2[44]:C,12619
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs7_5_i_0_m2[44]:Y,2349
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_RNO[64]:A,2406
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_RNO[64]:B,2283
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_RNO[64]:C,12642
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_RNO[64]:D,2210
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_RNO[64]:Y,2210
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_80[55]:A,13470
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_80[55]:B,11481
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_80[55]:C,9174
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_80[55]:Y,9174
SmartBert_Core_0_0/SB_VER_GEN_0/SLE_RX_LANE2_ERR_CNT[13]:ALn,
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_buff[158]:ALn,
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_buff[158]:CLK,11149
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_buff[158]:D,13878
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_buff[158]:Q,11149
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_buff[158]:SLn,4269
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs7_RNO[44]:A,3168
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs7_RNO[44]:B,2349
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs7_RNO[44]:C,14237
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs7_RNO[44]:D,3431
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs7_RNO[44]:Y,2349
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_RNO[78]:A,2324
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_RNO[78]:B,13473
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_RNO[78]:C,3079
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_RNO[78]:Y,2324
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_buff[106]:ALn,
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_buff[106]:CLK,9367
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_buff[106]:D,13892
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_buff[106]:Q,9367
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_buff[106]:SLn,4269
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_11[5]:A,10179
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_11[5]:B,10142
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_11[5]:C,9283
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_11[5]:Y,9283
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_RNO[72]:A,2324
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_RNO[72]:B,12698
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_RNO[72]:C,3079
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_RNO[72]:Y,2324
SmartBert_Core_0_0/SB_VER_GEN_0/SLE_RX_LANE3_ERR_CNT[31]:ALn,
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/_l27.un166_prbs9_0_a2_0_a3_0_x2:A,11764
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/_l27.un166_prbs9_0_a2_0_a3_0_x2:B,11710
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/_l27.un166_prbs9_0_a2_0_a3_0_x2:C,10676
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/_l27.un166_prbs9_0_a2_0_a3_0_x2:Y,10676
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_47[71]:A,9395
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_47[71]:B,9358
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_47[71]:C,8499
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_47[71]:Y,8499
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_31_1[4]:A,12054
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_31_1[4]:B,11923
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_31_1[4]:C,9349
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_31_1[4]:D,9305
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_31_1[4]:Y,9305
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/err_bits[6]:ALn,
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/err_bits[6]:CLK,4609
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/err_bits[6]:D,-14
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/err_bits[6]:Q,4609
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_31[29]:A,8536
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_31[29]:B,12045
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_31[29]:C,8471
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_31[29]:Y,8471
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs23[50]:ALn,
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs23[50]:CLK,12710
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs23[50]:D,2283
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs23[50]:Q,12710
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_reg[44]:ALn,
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_reg[44]:CLK,11981
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_reg[44]:D,15081
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_reg[44]:Q,11981
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_reg[44]:SLn,4269
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_reg[52]:ALn,
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_reg[52]:CLK,11981
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_reg[52]:D,15099
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_reg[52]:Q,11981
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_reg[52]:SLn,4269
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_63[69]:A,8536
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_63[69]:B,13045
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_63[69]:C,8471
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_63[69]:Y,8471
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_5_1_a3_i_0_x4_0[1]:A,13564
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_5_1_a3_i_0_x4_0[1]:B,13512
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_5_1_a3_i_0_x4_0[1]:C,12625
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_5_1_a3_i_0_x4_0[1]:Y,12625
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_35_1.SUM_0[0]:A,3791
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_35_1.SUM_0[0]:B,3753
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_35_1.SUM_0[0]:Y,3753
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_9_0_a3_0_a3_0_x2[5]:A,12580
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_9_0_a3_0_a3_0_x2[5]:B,12543
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_9_0_a3_0_a3_0_x2[5]:C,11664
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_9_0_a3_0_a3_0_x2[5]:Y,11664
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_7[61]:A,10303
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_7[61]:B,8537
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_7[61]:C,8471
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_7[61]:Y,8471
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs31_RNO[32]:A,3170
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs31_RNO[32]:B,2289
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs31_RNO[32]:C,14237
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs31_RNO[32]:D,14134
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs31_RNO[32]:Y,2289
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/RX_ALIGN14_0_a3_0_a2_0_a2_73:A,8838
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/RX_ALIGN14_0_a3_0_a2_0_a2_73:B,8801
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/RX_ALIGN14_0_a3_0_a2_0_a2_73:C,8715
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/RX_ALIGN14_0_a3_0_a2_0_a2_73:D,8673
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/RX_ALIGN14_0_a3_0_a2_0_a2_73:Y,8673
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_159_1.CO0:A,6295
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_159_1.CO0:B,6145
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_159_1.CO0:C,6913
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_159_1.CO0:D,4407
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_159_1.CO0:Y,4407
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs23_RNO[36]:A,14323
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs23_RNO[36]:B,13503
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs23_RNO[36]:C,3079
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs23_RNO[36]:D,2146
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs23_RNO[36]:Y,2146
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_7_0_a3_0_a3_0[16]:A,11635
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_7_0_a3_0_a3_0[16]:B,11667
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_7_0_a3_0_a3_0[16]:Y,11635
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_63_2[72]:A,12191
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_63_2[72]:B,12307
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_63_2[72]:C,8575
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_63_2[72]:D,8536
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_63_2[72]:Y,8536
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_3_4_0_a3_0_x2[5]:A,10833
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_3_4_0_a3_0_x2[5]:B,10884
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_3_4_0_a3_0_x2[5]:Y,10833
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/err_bits_7_iv_1[31]:A,3586
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/err_bits_7_iv_1[31]:B,-190
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/err_bits_7_iv_1[31]:C,13488
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/err_bits_7_iv_1[31]:D,13385
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/err_bits_7_iv_1[31]:Y,-190
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_70[68]:A,10968
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_70[68]:B,9202
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_70[68]:C,9136
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_70[68]:Y,9136
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_RNO[15]:A,14311
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_RNO[15]:B,13456
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_RNO[15]:C,3079
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_RNO[15]:D,2140
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_RNO[15]:Y,2140
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_2[32]:A,12672
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_2[32]:B,4634
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_2[32]:C,3637
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_2[32]:D,2619
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_2[32]:Y,2619
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_1[46]:A,9367
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_1[46]:B,9330
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_1[46]:C,8471
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_1[46]:Y,8471
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_RNO[47]:A,13524
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_RNO[47]:B,13456
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_RNO[47]:C,3079
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_RNO[47]:D,2146
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_RNO[47]:Y,2146
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_5_i_0_x4_RNI05B21[56]:A,12607
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_5_i_0_x4_RNI05B21[56]:B,12595
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_5_i_0_x4_RNI05B21[56]:Y,12595
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_1[32]:A,10545
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_1[32]:B,9727
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_1[32]:C,3109
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_1[32]:D,2619
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_1[32]:Y,2619
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_84[77]:A,8466
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_84[77]:B,3541
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_84[77]:C,13812
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_84[77]:D,9136
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_84[77]:Y,3541
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_1_0_wmux[0]:A,4334
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_1_0_wmux[0]:B,3892
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_1_0_wmux[0]:C,10700
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_1_0_wmux[0]:D,9884
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_1_0_wmux[0]:Y,3892
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs23_RNO[49]:A,3170
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs23_RNO[49]:B,2283
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs23_RNO[49]:C,14231
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs23_RNO[49]:D,14134
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs23_RNO[49]:Y,2283
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_9_0_a3_0_a3_0[3]:A,11639
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_9_0_a3_0_a3_0[3]:B,11700
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_9_0_a3_0_a3_0[3]:Y,11639
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_123_1.SUM_0_a2[1]:A,5323
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_123_1.SUM_0_a2[1]:B,5291
